Title	Artist	Album Artist	Album	Year	Genre	Vocal	Url	Display Url	Id	Rights	Source
Cinnamon (feat. Miori Celesta & Yuuna Nini)	Alohaii	Alohaii	SUMMERTIDE	2024		y	https://www.youtube.com/watch?v=7FLcwSVDurg		7FLcwSVDurg	Allowed	https://www.youtube.com/watch?v=jiiI6mygFTo
Embrace (feat. Kiyon)	Alohaii	Alohaii	SUMMERTIDE	2024		y	https://www.youtube.com/watch?v=qKOdgmqWCzk		qKOdgmqWCzk	Allowed	https://www.youtube.com/watch?v=jiiI6mygFTo
Heart Of Glass (feat. Rachie)	Alohaii	Alohaii	SUMMERTIDE	2024		y	https://www.youtube.com/watch?v=f6FRYyOYNhA		f6FRYyOYNhA	Allowed	https://www.youtube.com/watch?v=jiiI6mygFTo
Love Me Not (feat. TOFIE)	Alohaii	Alohaii	SUMMERTIDE	2024		y	https://www.youtube.com/watch?v=gWVgeuM5qhU		gWVgeuM5qhU	Allowed	https://www.youtube.com/watch?v=jiiI6mygFTo
Magazines (feat. Nia Suzune)	Alohaii	Alohaii	SUMMERTIDE	2024		y	https://www.youtube.com/watch?v=NMaZVtiY83A		NMaZVtiY83A	Allowed	https://www.youtube.com/watch?v=jiiI6mygFTo
Rose (feat. Ember Amane)	Alohaii	Alohaii	SUMMERTIDE	2024		y	https://www.youtube.com/watch?v=tXXRM5kqpwo		tXXRM5kqpwo	Allowed	https://www.youtube.com/watch?v=jiiI6mygFTo
Through The Night (feat. Yuuka Bear)	Alohaii	Alohaii	SUMMERTIDE	2024		y	https://www.youtube.com/watch?v=Z1DVXMaAwtE		Z1DVXMaAwtE	Allowed	https://www.youtube.com/watch?v=jiiI6mygFTo
Hopeless Romantic (feat. JubyPhonic)	Alohaii	Alohaii	SUMMERTIDE	2024		y	https://www.youtube.com/watch?v=fLVKWWjZTRk		fLVKWWjZTRk	Allowed	https://www.youtube.com/watch?v=jiiI6mygFTo
a stormy night	LilyPichu			2020		n	https://www.youtube.com/watch?v=MJedvm2TE8o		MJedvm2TE8o	Credit	https://x.com/LilyPichu/status/1282262110949392384?lang=en, https://x.com/lilypichu/status/1086421015796699136
c'est la vie	LilyPichu			2025		y	https://www.youtube.com/watch?v=G7ZK2LfDa-s		G7ZK2LfDa-s	Credit	https://x.com/LilyPichu/status/1282262110949392384?lang=en, https://x.com/lilypichu/status/1086421015796699136
comfy vibes	LilyPichu			2020		n	https://www.youtube.com/watch?v=WwXJrMhbi-s		WwXJrMhbi-s	Credit	https://x.com/LilyPichu/status/1282262110949392384?lang=en, https://x.com/lilypichu/status/1086421015796699136
dreamy nightmares	LilyPichu			2020			https://www.youtube.com/watch?v=5yaY7aG1Lpo		5yaY7aG1Lpo	Credit	https://x.com/LilyPichu/status/1282262110949392384?lang=en, https://x.com/lilypichu/status/1086421015796699136
dreamy night	LilyPichu			2020		y	https://www.youtube.com/watch?v=DXuNJ267Vss		DXuNJ267Vss	Credit	https://x.com/LilyPichu/status/1282262110949392384?lang=en, https://x.com/lilypichu/status/1086421015796699136
foreverland	LilyPichu			2020			https://www.youtube.com/watch?v=A2zepLiuEJU		A2zepLiuEJU	Credit	https://x.com/LilyPichu/status/1282262110949392384?lang=en, https://x.com/lilypichu/status/1086421015796699136
happy	LilyPichu			2022			https://www.youtube.com/watch?v=F_Bj_6idYqc		F_Bj_6idYqc	Credit	https://x.com/LilyPichu/status/1282262110949392384?lang=en, https://x.com/lilypichu/status/1086421015796699136
last cup of coffee	LilyPichu			2021		y	https://www.youtube.com/watch?v=hF0I9h7C4A4		hF0I9h7C4A4	Credit	https://x.com/LilyPichu/status/1282262110949392384?lang=en, https://x.com/lilypichu/status/1086421015796699136
POM POM	LilyPichu			2021		y	https://www.youtube.com/watch?v=1y8D6Smn6AQ		1y8D6Smn6AQ	Credit	https://x.com/LilyPichu/status/1282262110949392384?lang=en, https://x.com/lilypichu/status/1086421015796699136
sunshine & butterflies	LilyPichu			2020		y	https://www.youtube.com/watch?v=hbz-8K-pxpY		hbz-8K-pxpY	Credit	https://x.com/LilyPichu/status/1282262110949392384?lang=en, https://x.com/lilypichu/status/1086421015796699136
these days it's hard to find the words	LilyPichu			2020			https://www.youtube.com/watch?v=eutMcjJCVqc		eutMcjJCVqc	Credit	https://x.com/LilyPichu/status/1282262110949392384?lang=en, https://x.com/lilypichu/status/1086421015796699136
walking with you	LilyPichu			2020			https://www.youtube.com/watch?v=q8iCL5CR5k0		q8iCL5CR5k0	Credit	https://x.com/LilyPichu/status/1282262110949392384?lang=en, https://x.com/lilypichu/status/1086421015796699136
BURNOUT ft. Kasane Teto	ROMA			2026		y	https://www.youtube.com/watch?v=J5SbnFwKaHc		J5SbnFwKaHc	Allowed	https://www.youtube.com/@ROMALOID/videos
NEURODIVERGENCE ft. GUMI	ROMA			2025		y	https://www.youtube.com/watch?v=9Zv6Mq02Mc4		9Zv6Mq02Mc4	Allowed	https://www.youtube.com/@ROMALOID/videos
POTETO CHIP ft. Kasane Teto	ROMA			2025		y	https://www.youtube.com/watch?v=MMy7KXZPpyw		MMy7KXZPpyw	Allowed	https://www.youtube.com/@ROMALOID/videos
somewhere, someday, (feat. lrmip)	Tanger	Tanger	Prefer not to say	2024		n	https://www.youtube.com/watch?v=MnpgsP46tGk		MnpgsP46tGk	Credit	https://www.youtube.com/watch?v=MnpgsP46tGk
Opening Movie	Pokemon	Pokemon	Pokemon DP Sound Library	2022		n	https://www.youtube.com/watch?v=X1CM3Hv3iMU	https://www.youtube.com/watch?v=XDg0T0hsJkc&t=6s	X1CM3Hv3iMU	Credit	https://www.pokemon.com/us/dp-sound-library
Twinleaf Town (Day)	Pokemon	Pokemon	Pokemon DP Sound Library	2022		n	https://www.youtube.com/watch?v=pvVNL7rYNU4	https://www.youtube.com/watch?v=XDg0T0hsJkc&t=225s	pvVNL7rYNU4	Credit	https://www.pokemon.com/us/dp-sound-library
